ID,stance_predicted_raw
2316,neutral-or-unclear
2317,neutral-or-unclear
2331,neutral-or-unclear
2356,neutral-or-unclear
2360,neutral-or-unclear
2376,neutral-or-unclear
2391,neutral-or-unclear
2395,neutral-or-unclear
2411,neutral-or-unclear
2415,neutral-or-unclear
2421,neutral-or-unclear
2426,neutral-or-unclear
2434,neutral-or-unclear
2441,neutral-or-unclear
2515,neutral-or-unclear
2522,neutral-or-unclear
2547,neutral-or-unclear
2585,neutral-or-unclear
2603,neutral-or-unclear
2615,neutral-or-unclear
2624,neutral-or-unclear
2625,neutral-or-unclear
2656,neutral-or-unclear
2659,neutral-or-unclear
2667,neutral-or-unclear
2724,neutral-or-unclear
2741,neutral-or-unclear
2760,neutral-or-unclear
2770,neutral-or-unclear
2810,neutral-or-unclear
2811,neutral-or-unclear
2850,neutral-or-unclear
2851,neutral-or-unclear
2854,neutral-or-unclear
2885,neutral-or-unclear
2894,neutral-or-unclear
2906,neutral-or-unclear
2914,neutral-or-unclear
10971,neutral-or-unclear
10973,neutral-or-unclear
10977,neutral-or-unclear
10978,neutral-or-unclear
10980,neutral-or-unclear
10982,neutral-or-unclear
10985,neutral-or-unclear
10986,neutral-or-unclear
10989,neutral-or-unclear
10994,neutral-or-unclear
10999,neutral-or-unclear
11000,neutral-or-unclear
11001,neutral-or-unclear
11002,neutral-or-unclear
11005,neutral-or-unclear
11006,neutral-or-unclear
11007,neutral-or-unclear
11009,neutral-or-unclear
11011,neutral-or-unclear
11014,neutral-or-unclear
11015,neutral-or-unclear
11016,neutral-or-unclear
11017,neutral-or-unclear
11020,neutral-or-unclear
11030,neutral-or-unclear
11036,neutral-or-unclear
11038,neutral-or-unclear
11039,neutral-or-unclear
11042,neutral-or-unclear
11043,neutral-or-unclear
11047,neutral-or-unclear
11050,neutral-or-unclear
11051,neutral-or-unclear
11052,neutral-or-unclear
11054,neutral-or-unclear
11057,neutral-or-unclear
11058,neutral-or-unclear
11059,neutral-or-unclear
11067,neutral-or-unclear
11068,neutral-or-unclear
11071,neutral-or-unclear
11072,neutral-or-unclear
11073,neutral-or-unclear
11076,neutral-or-unclear
11077,neutral-or-unclear
11078,neutral-or-unclear
11082,neutral-or-unclear
11089,neutral-or-unclear
11091,neutral-or-unclear
11092,neutral-or-unclear
11094,neutral-or-unclear
11095,neutral-or-unclear
11104,neutral-or-unclear
11111,neutral-or-unclear
11113,neutral-or-unclear
11116,neutral-or-unclear
11120,neutral-or-unclear
11127,neutral-or-unclear
11128,neutral-or-unclear
11138,neutral-or-unclear
11141,neutral-or-unclear
11143,neutral-or-unclear
11146,neutral-or-unclear
11149,neutral-or-unclear
11153,neutral-or-unclear
11157,neutral-or-unclear
11159,neutral-or-unclear
11166,neutral-or-unclear
11176,neutral-or-unclear
11177,neutral-or-unclear
11179,neutral-or-unclear
11181,neutral-or-unclear
11182,neutral-or-unclear
11183,neutral-or-unclear
11185,neutral-or-unclear
11188,neutral-or-unclear
11192,neutral-or-unclear
11195,neutral-or-unclear
11198,neutral-or-unclear
11201,neutral-or-unclear
11209,neutral-or-unclear
11216,neutral-or-unclear
11217,neutral-or-unclear
11219,neutral-or-unclear
11221,neutral-or-unclear
11223,neutral-or-unclear
11227,neutral-or-unclear
11229,neutral-or-unclear
11232,neutral-or-unclear
11233,neutral-or-unclear
11237,neutral-or-unclear
11239,neutral-or-unclear
11241,neutral-or-unclear
11242,neutral-or-unclear
11245,neutral-or-unclear
11246,neutral-or-unclear
11249,neutral-or-unclear
