ID,stance_predicted_raw
2316,neutral-or-unclear
2317,neutral-or-unclear
2331,neutral-or-unclear
2356,neutral-or-unclear
2360,neutral-or-unclear
2364,neutral-or-unclear
2366,neutral-or-unclear
2376,neutral-or-unclear
2391,neutral-or-unclear
2395,neutral-or-unclear
2411,neutral-or-unclear
2415,neutral-or-unclear
2421,neutral-or-unclear
2426,neutral-or-unclear
2429,neutral-or-unclear
2434,neutral-or-unclear
2441,neutral-or-unclear
2447,neutral-or-unclear
2499,neutral-or-unclear
2504,neutral-or-unclear
2515,neutral-or-unclear
2522,neutral-or-unclear
2536,neutral-or-unclear
2539,neutral-or-unclear
2540,neutral-or-unclear
2547,neutral-or-unclear
2570,neutral-or-unclear
2577,neutral-or-unclear
2585,neutral-or-unclear
2603,neutral-or-unclear
2615,neutral-or-unclear
2624,neutral-or-unclear
2625,neutral-or-unclear
2626,neutral-or-unclear
2639,neutral-or-unclear
2656,neutral-or-unclear
2659,neutral-or-unclear
2666,neutral-or-unclear
2667,neutral-or-unclear
2687,neutral-or-unclear
2691,neutral-or-unclear
2724,neutral-or-unclear
2736,neutral-or-unclear
2741,neutral-or-unclear
2760,neutral-or-unclear
2770,neutral-or-unclear
2779,neutral-or-unclear
2801,neutral-or-unclear
2806,neutral-or-unclear
2810,neutral-or-unclear
2811,neutral-or-unclear
2822,neutral-or-unclear
2823,neutral-or-unclear
2850,neutral-or-unclear
2851,neutral-or-unclear
2854,neutral-or-unclear
2874,neutral-or-unclear
2885,neutral-or-unclear
2886,neutral-or-unclear
2894,neutral-or-unclear
2906,neutral-or-unclear
2909,neutral-or-unclear
2914,neutral-or-unclear
10970,neutral-or-unclear
10971,neutral-or-unclear
10972,neutral-or-unclear
10973,neutral-or-unclear
10974,neutral-or-unclear
10977,neutral-or-unclear
10978,neutral-or-unclear
10980,neutral-or-unclear
10981,neutral-or-unclear
10982,neutral-or-unclear
10984,neutral-or-unclear
10985,neutral-or-unclear
10986,neutral-or-unclear
10989,neutral-or-unclear
10994,neutral-or-unclear
10997,neutral-or-unclear
10999,neutral-or-unclear
11000,neutral-or-unclear
11001,neutral-or-unclear
11002,neutral-or-unclear
11003,neutral-or-unclear
11005,neutral-or-unclear
11006,neutral-or-unclear
11007,neutral-or-unclear
11009,neutral-or-unclear
11010,neutral-or-unclear
11011,neutral-or-unclear
11014,neutral-or-unclear
11015,neutral-or-unclear
11016,neutral-or-unclear
11017,neutral-or-unclear
11018,neutral-or-unclear
11020,neutral-or-unclear
11023,neutral-or-unclear
11025,neutral-or-unclear
11030,neutral-or-unclear
11036,neutral-or-unclear
11038,neutral-or-unclear
11039,neutral-or-unclear
11042,neutral-or-unclear
11043,neutral-or-unclear
